Receive Date,AMIC ID,Commodity,NOS,Origin Protein,Leco Protein,WGA Protein
1/2/2025,1018-24-013445,Other,Lake2500T0011,,12.37,12.6
1/2/2025,2001-25-000003,Other,AMCC25T0021,,14.22,14.1
1/2/2025,2001-25-000004,Other,MART25T0026,,14.46,14.8
1/2/2025,2001-25-000005,HRW,DECA250193,11.5,11.45,11.5
1/2/2025,2001-25-000006,HRS,MART250088,15.03,15.05,15.1
1/2/2025,2001-25-000007,HRS,OMAS250037,14.01,14.03,14.3
1/2/2025,2001-25-000008,HRS,ALBA250072,14.02,13.9,14.2
1/3/2025,1008-25-000012,HRS,COLU250030,13.67,13.75,13.8
1/3/2025,1008-25-000013,HRS,COLU250031,13.82,13.92,13.9
1/3/2025,2001-25-000043,HRS,ALBA250073,14.22,14.29,14.2
1/3/2025,2001-25-000045,HRS,ALBA250074,14.99,14.95,15
1/3/2025,2001-25-000046,HRS,"ALTO250107 , HOUS250016",13.96,14.04,14.1
1/6/2025,2001-25-000052,HRW,LAKE250065,11.74,11.63,11.6
1/6/2025,2001-25-000053,HRW,KENO250143,12.15,12.35,12.4
1/6/2025,2001-25-000054,HRW,SANB250121,12.52,12.48,12.6
1/7/2025,1018-24-013847,HRW,LAKE250059,12.27,12.32,12.4
1/7/2025,1022-24-011567,HRS,MART250083,14.01,14.15,14.2
1/7/2025,1022-24-011568,HRS,MART250083,,14.2,14.3
1/7/2025,1022-24-011570,HRS,MART250083,,14.16,14.3
1/8/2025,2001-25-000061,HRS,CHAT250152,14.23,14.34,14.3
1/8/2025,2001-25-000062,Other,HAST250058,15.26,15.95,15.8
1/9/2025,2001-25-000066,HRW,DECA250195,11.75,11.9,12.1
1/10/2025,1018-25-000027,HRS,Lake250063,14.2,14.69,14.6
1/10/2025,1018-25-000029,HRW,LAKE250062,12.28,12.28,12.6
1/10/2025,2001-25-000092,HRW,"COLT250140 , SANB250123",12.46,12.56,12.6
1/13/2025,1018-25-000031,Other,LAKE25T0013,,12.48,12.4
1/13/2025,2001-25-000110,HRS,ALBA250070,14.15,14.06,14.3
1/13/2025,2001-25-000111,HRS,"COLU250030 , KENO250137 , MTPO250135",13.74,13.96,13.8
1/13/2025,2001-25-000112,HRS,KENO250146,13.87,13.88,14
1/14/2025,2001-25-000123,Other,AMCC25T0023,,15.16,15.2
1/14/2025,2001-25-000124,Other,MART25T0028,,15.26,15.4
1/14/2025,2001-25-000125,HRW,AYER250034,13.03,13.07,13.1
1/14/2025,2001-25-000128,HRS,LAKE250066,14.13,14.08,14.2
1/15/2025,1008-25-000036,HRS,COLU250029,14.03,14.1,14.2
1/15/2025,2001-25-000144,HRS,STOC250081,14.16,14.25,14.1
1/16/2025,2001-25-000173,HRS,AMEL250031,14.03,13.96,14
1/16/2025,2001-25-000174,HRS,SHER250034,14.1,13.83,14.2
1/17/2025,1018-25-000435,HRW,LAKE250065,,11.86,11.8
1/17/2025,2001-25-000183,HRS,ALBA250078,15.01,15.19,15.2
1/20/2025,2001-25-000198,HRS,KENO250153,15.1,15.28,15.2
1/20/2025,2001-25-000199,HRW,KENO250155,11.36,11.43,11.2
1/21/2025,1017-25-001277,HRS,KENO250147,14.11,14.17,14.4
1/21/2025,2001-25-000204,HRW,DECA250203,11.61,11.73,11.7
1/22/2025,2001-25-000208,HRS,FAIR250034,13.76,13.82,14.2
1/22/2025,2001-25-000209,HRS,KENO250147,,14.5,14.7
1/23/2025,1018-25-000458,Other,Lake25T0015,,12.88,12.6
1/23/2025,2001-25-000220,HRW,MTPO250146,12.13,12.25,12.4
1/23/2025,2001-25-000221,Other,AMCC25T0029,,15,15.2
1/23/2025,2001-25-000222,Other,AMCC25T0028,,15.45,15.3
1/23/2025,2001-25-000224,Other,OGDE25T0070,,12.97,13.1
1/23/2025,2001-25-000225,Other,AMCC25T0027,,15.35,15.4
1/23/2025,2001-25-000226,Other,AMCC25T0025,,14.49,14.5
1/23/2025,2001-25-000227,HRW,DECA250209,11.6,11.69,11.5
